date,Open,High,Low,Close,Volume,20_MA,50_MA,Upper_Band,Lower_Band
2024-11-22,165.85,166.46,163.9,164.76,38604587.0,180.119,,202.1979634577446,158.0400365422554
2024-11-21,173.9,174.13,163.7,167.63,59734379.0,178.93,,201.00998379099332,156.8500162090067
2024-11-20,177.34,177.675,173.78,175.98,18997111.0,178.3035,,199.9456764398277,156.66132356017232
2024-11-19,173.72,178.87,173.56,178.12,23434925.0,177.7895,,198.9038926717,156.67510732830002
2024-11-18,173.42,175.438,172.9,175.3,20206613.0,176.7835,,196.2108591942693,157.35614080573072
2024-11-15,173.73,174.14,171.22,172.49,32504649.0,175.575,,192.6624241229594,158.48757587704057
2024-11-14,178.28,178.82,174.3218,175.58,31007457.0,174.863,,190.58322780067974,159.14277219932026
2024-11-13,180.46,180.96,178.54,178.88,23184003.0,174.209,,187.8904971479925,160.5275028520075
2024-11-12,179.82,182.49,179.39,181.62,25134905.0,173.51999999999998,,183.62982846436807,163.4101715356319
2024-11-11,178.58,180.545,178.47,180.35,17450354.0,173.27900000000002,185.34560000000002,182.40104709250588,164.15695290749417
2024-11-08,180.645,180.9,178.08,178.35,22006182.0,173.428,184.9084,182.78810031435222,164.06789968564777
2024-11-07,177.41,181.08,177.19,180.75,25352939.0,173.73,184.5638,183.63798295899772,163.82201704100225
2024-11-06,173.8,176.94,173.5,176.51,33695538.0,173.9235,184.1266,183.89282194284044,163.95417805715954
2024-11-05,169.43,170.53,168.84,169.74,18242050.0,173.692,183.56039999999996,183.83124652032882,163.5527534796712
2024-11-04,169.93,170.73,168.011,169.24,21492744.0,173.587,183.0252,183.87125899896995,163.30274100103003
2024-11-01,170.07,172.32,168.88,171.29,31796477.0,173.577,182.59279999999998,183.8702294558889,163.2837705441111
2024-10-31,173.13,176.82,171.0,171.11,44768981.0,173.685,182.104,183.81789484277505,163.55210515722496
2024-10-30,180.68,182.02,174.0599,174.46,68890787.0,173.9465,181.8,183.86293882386053,164.03006117613944
2024-10-29,167.73,170.38,167.0896,169.68,42169025.0,173.97449999999998,181.3734,183.8365708298324,164.11242917016756
2024-10-28,168.75,168.75,163.95,166.72,32138641.0,173.928,180.86699999999996,183.9234970914539,163.9325029085461
2024-10-25,163.67,165.59,163.42,165.27,19828884.0,173.95350000000002,180.2934,183.8526552536993,164.05434474630073
2024-10-24,162.83,163.33,161.01,162.72,22412527.0,173.708,179.63800000000003,184.47312419563139,162.9428758043686
2024-10-23,164.76,165.82,161.925,162.78,18280518.0,173.048,178.9562,184.7999514169036,161.2960485830964
2024-10-22,162.98,165.77,162.98,165.14,16568121.0,172.399,178.42320000000004,184.4025256224336,160.39547437756642
2024-10-21,162.95,164.5,162.62,164.07,20946455.0,171.8375,177.91600000000003,184.3110743832606,159.3639256167394
2024-10-18,163.19,164.71,163.08,163.42,19757661.0,171.38400000000001,177.3984,184.4051817718992,158.36281822810082
2024-10-17,165.73,166.37,162.76,162.93,21453395.0,170.75150000000002,176.83219999999997,184.13830147324998,157.36469852675006
2024-10-16,164.53,165.8,163.74,165.16,16406030.0,170.0655,176.2802,183.09995712837994,157.03104287162003
2024-10-15,165.785,167.68,164.625,165.46,20247195.0,169.2575,175.6774,181.23693830508168,157.2780616949183
2024-10-14,163.64,166.226,163.4,164.96,19016141.0,168.488,175.05440000000002,179.39661870748344,157.57938129251656
2024-10-11,162.13,163.9,161.235,163.24,15344251.0,167.73250000000002,174.4266,177.8279098480445,157.63709015195553
2024-10-10,160.87,163.07,160.395,162.08,14144068.0,166.799,173.84,175.1236517866163,158.4743482133837
2024-10-09,163.45,164.84,159.74,161.86,31181774.0,166.06650000000002,173.30699999999996,173.2999494210099,158.83305057899014
2024-10-08,163.94,164.725,162.87,164.38,23072733.0,165.7985,172.82659999999998,172.85386682622692,158.74313317377306
2024-10-07,167.72,168.48,162.75,162.98,22463140.0,165.4855,172.1778,172.45289919761592,158.51810080238408
2024-10-04,168.06,168.23,165.48,167.06,19093724.0,165.274,171.58579999999998,171.73814043620177,158.80985956379823
2024-10-03,164.41,166.64,163.923,165.86,15073101.0,165.0115,171.1066,170.87639386093147,159.14660613906855
2024-10-02,166.42,167.52,164.73,165.86,17760179.0,164.5815,170.58460000000002,168.45131449303676,160.71168550696325
2024-10-01,167.685,169.16,164.58,166.99,28338123.0,164.447,170.0164,167.71012152780952,161.1838784721905
2024-09-30,163.32,166.15,163.26,165.85,20481303.0,164.4035,169.63,167.56050907755747,161.24649092244255
2024-09-27,162.81,165.7,162.6261,163.95,21101307.0,164.3375,169.4016,167.4733563004119,161.20164369958812
2024-09-26,163.64,164.08,162.28,162.73,20319336.0,164.33800000000002,169.16199999999998,167.47277339061648,161.20322660938356
